epoch	learning_rate	result
1000	0.05	0
1000	0.1	0
1000	0.15	0
1000	0.2	0
1000	0.25	0
1000	0.3	0
1000	0.35	0
1000	0.4	0
1000	0.45	0
1000	0.5	0
1100	0.05	0.847
1100	0.1	0.865
1100	0.15	0.876666666667
1100	0.2	0.882666666667
1100	0.25	0.887666666667
1100	0.3	0.888
1100	0.35	0.886666666667
1100	0.4	0.891
1100	0.45	0.888
1100	0.5	0.889666666667
1200	0.05	0.849666666667
1200	0.1	0.867333333333
1200	0.15	0.877666666667
1200	0.2	0.883
1200	0.25	0.885
1200	0.3	0.882
1200	0.35	0.885333333333
1200	0.4	0.888333333333
1200	0.45	0.892
1200	0.5	0.89
1300	0.05	0.849333333333
1300	0.1	0.870666666667
1300	0.15	0.878666666667
1300	0.2	0.882333333333
1300	0.25	0.886333333333
1300	0.3	0.887
1300	0.35	0.888333333333
1300	0.4	0.892666666667
1300	0.45	0.889
1300	0.5	0.887666666667
1400	0.05	0.854333333333
1400	0.1	0.87
1400	0.15	0.882
1400	0.2	0.886333333333
1400	0.25	0.886333333333
1400	0.3	0.887333333333
1400	0.35	0.893333333333
1400	0.4	0.886333333333
1400	0.45	0.888333333333
1400	0.5	0.889
1500	0.05	0.854
1500	0.1	0.869666666667
1500	0.15	0.880333333333
1500	0.2	0.887
1500	0.25	0.886666666667
1500	0.3	0.886666666667
1500	0.35	0.888333333333
1500	0.4	0.892333333333
1500	0.45	0.891333333333
1500	0.5	0.892333333333
1600	0.05	0.857333333333
1600	0.1	0.877333333333
1600	0.15	0.884333333333
1600	0.2	0.885666666667
1600	0.25	0.885333333333
1600	0.3	0.891333333333
1600	0.35	0.889666666667
1600	0.4	0.894
1600	0.45	0.895666666667
1600	0.5	0.896666666667
1700	0.05	0.857666666667
1700	0.1	0.874333333333
1700	0.15	0.884
1700	0.2	0.884666666667
1700	0.25	0.889
1700	0.3	0.887
1700	0.35	0.887333333333
1700	0.4	0.889
1700	0.45	0.897
1700	0.5	0.894333333333
1800	0.05	0.863
1800	0.1	0.874666666667
1800	0.15	0.885
1800	0.2	0.887666666667
1800	0.25	0.887666666667
1800	0.3	0.891
1800	0.35	0.889
1800	0.4	0.892
1800	0.45	0.890666666667
1800	0.5	0.894333333333
1900	0.05	0.860666666667
1900	0.1	0.878333333333
1900	0.15	0.884333333333
1900	0.2	0.885
1900	0.25	0.886666666667
1900	0.3	0.889
1900	0.35	0.890666666667
1900	0.4	0.892666666667
1900	0.45	0.895666666667
1900	0.5	0.896333333333
2000	0.05	0.861333333333
2000	0.1	0.877666666667
2000	0.15	0.885333333333
2000	0.2	0.887333333333
2000	0.25	0.887666666667
2000	0.3	0.893
2000	0.35	0.893333333333
2000	0.4	0.893666666667
2000	0.45	0.892666666667
2000	0.5	0.889
2100	0.05	0.866
2100	0.1	0.883333333333
2100	0.15	0.885666666667
2100	0.2	0.888666666667
2100	0.25	0.889
2100	0.3	0.889333333333
2100	0.35	0.894666666667
2100	0.4	0.891
2100	0.45	0.896333333333
2100	0.5	0.897
2200	0.05	0.864666666667
2200	0.1	0.882666666667
2200	0.15	0.882
2200	0.2	0.888
2200	0.25	0.889666666667
2200	0.3	0.889666666667
2200	0.35	0.894666666667
2200	0.4	0.895
2200	0.45	0.895666666667
2200	0.5	0.896
2300	0.05	0.870333333333
2300	0.1	0.881333333333
2300	0.15	0.887666666667
2300	0.2	0.889
2300	0.25	0.89
2300	0.3	0.892666666667
2300	0.35	0.893333333333
2300	0.4	0.900666666667
2300	0.45	0.896
2300	0.5	0.895333333333
2400	0.05	0.868333333333
2400	0.1	0.883
2400	0.15	0.883
2400	0.2	0.888666666667
2400	0.25	0.892666666667
2400	0.3	0.896666666667
2400	0.35	0.894
2400	0.4	0.892666666667
2400	0.45	0.900666666667
2400	0.5	0.898333333333
2500	0.05	0.869
2500	0.1	0.884333333333
2500	0.15	0.887
2500	0.2	0.891
2500	0.25	0.891
2500	0.3	0.894666666667
2500	0.35	0.891333333333
2500	0.4	0.897666666667
2500	0.45	0.897666666667
2500	0.5	0.899333333333
2600	0.05	0.869
2600	0.1	0.882
2600	0.15	0.885
2600	0.2	0.889
2600	0.25	0.889666666667
2600	0.3	0.897666666667
2600	0.35	0.890666666667
2600	0.4	0.899666666667
2600	0.45	0.896333333333
2600	0.5	0.900666666667
2700	0.05	0.872666666667
2700	0.1	0.884333333333
2700	0.15	0.886
2700	0.2	0.885666666667
2700	0.25	0.892
2700	0.3	0.894
2700	0.35	0.897
2700	0.4	0.896666666667
2700	0.45	0.899333333333
2700	0.5	0.898
2800	0.05	0.874
2800	0.1	0.884666666667
2800	0.15	0.888
2800	0.2	0.89
2800	0.25	0.893
2800	0.3	0.895666666667
2800	0.35	0.901666666667
2800	0.4	0.901666666667
2800	0.45	0.898
2800	0.5	0.898666666667
2900	0.05	0.872666666667
2900	0.1	0.884
2900	0.15	0.89
2900	0.2	0.888333333333
2900	0.25	0.893666666667
2900	0.3	0.896
2900	0.35	0.898333333333
2900	0.4	0.895
2900	0.45	0.893333333333
2900	0.5	0.896
3000	0.05	0.873
3000	0.1	0.883666666667
3000	0.15	0.89
3000	0.2	0.890666666667
3000	0.25	0.895333333333
3000	0.3	0.891666666667
3000	0.35	0.897
3000	0.4	0.900333333333
3000	0.45	0.898666666667
3000	0.5	0.899333333333
3100	0.05	0.872666666667
3100	0.1	0.881666666667
3100	0.15	0.887333333333
3100	0.2	0.893
3100	0.25	0.894
3100	0.3	0.897
3100	0.35	0.897666666667
3100	0.4	0.897666666667
3100	0.45	0.897666666667
3100	0.5	0.899333333333
3200	0.05	0.875
3200	0.1	0.888
3200	0.15	0.888
3200	0.2	0.887666666667
3200	0.25	0.896
3200	0.3	0.894333333333
3200	0.35	0.897
3200	0.4	0.894
3200	0.45	0.899666666667
3200	0.5	0.901666666667
3300	0.05	0.876666666667
3300	0.1	0.883333333333
3300	0.15	0.887666666667
3300	0.2	0.89
3300	0.25	0.891333333333
3300	0.3	0.897666666667
3300	0.35	0.897
3300	0.4	0.899333333333
3300	0.45	0.897333333333
3300	0.5	0.904
3400	0.05	0.877666666667
3400	0.1	0.884
3400	0.15	0.889
3400	0.2	0.891
3400	0.25	0.894
3400	0.3	0.893333333333
3400	0.35	0.895333333333
3400	0.4	0.901
3400	0.45	0.899666666667
3400	0.5	0.896666666667
3500	0.05	0.873666666667
3500	0.1	0.884
3500	0.15	0.888666666667
3500	0.2	0.892666666667
3500	0.25	0.897
3500	0.3	0.895
3500	0.35	0.899666666667
3500	0.4	0.899666666667
3500	0.45	0.899333333333
3500	0.5	0.897333333333
3600	0.05	0.875333333333
3600	0.1	0.89
3600	0.15	0.892333333333
3600	0.2	0.888666666667
3600	0.25	0.897
3600	0.3	0.898666666667
3600	0.35	0.896666666667
3600	0.4	0.900666666667
3600	0.45	0.901333333333
3600	0.5	0.902666666667
3700	0.05	0.877
3700	0.1	0.887333333333
3700	0.15	0.887666666667
3700	0.2	0.893
3700	0.25	0.893666666667
3700	0.3	0.901666666667
3700	0.35	0.898666666667
3700	0.4	0.897666666667
3700	0.45	0.903666666667
3700	0.5	0.898666666667
3800	0.05	0.875333333333
3800	0.1	0.888666666667
3800	0.15	0.889
3800	0.2	0.894333333333
3800	0.25	0.896666666667
3800	0.3	0.892666666667
3800	0.35	0.897333333333
3800	0.4	0.903333333333
3800	0.45	0.899666666667
3800	0.5	0.900666666667
3900	0.05	0.881333333333
3900	0.1	0.885666666667
3900	0.15	0.892
3900	0.2	0.897666666667
3900	0.25	0.899333333333
3900	0.3	0.893333333333
3900	0.35	0.896333333333
3900	0.4	0.904
3900	0.45	0.901
3900	0.5	0.899
4500	0.5	0.0
